# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: xor.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             134   N   0000a164   f0f10113   0000a168   x02_sp     0f0f1000
             135   N   0000a168   0020c1b3   0000a16c   x02_sp     0f0f0f0f
             136   N   0000a16c   0000830e   0000a170   x03_gp     f00ff00f
             137   N   0000a170   00000205   0000a172   x06_t1     f00ff00f
             138   N   0000a172   00004289   0000a174   x04_tp     00000002
             139   N   0000a174   fe5213e3   0000a176   x05_t0     00000002
             140   N   0000a176   4289feb7   0000a17a   ---        --------
             142   N   0000a17a   00000ebd   0000a17e   x29_t4     f00ff000
             143   N   0000a17e   00004e25   0000a180   x29_t4     f00ff00f
             144   N   0000a180   2dd31863   0000a182   x28_t3     00000009
             145   N   0000a182   00004201   0000a186   ---        --------
             146   N   0000a186   0ff010b7   0000a188   x04_tp     00000000
             147   N   0000a188   000010c1   0000a18c   x01_ra     0ff01000
             148   N   0000a18c   f0f0f137   0000a18e   x01_ra     0ff00ff0
             149   N   0000a18e   0000616d   0000a192   x02_sp     f0f0f000
             150   N   0000a192   0020c1b3   0000a194   x02_sp     f0f0f0f0
             151   N   0000a194   00000001   0000a198   x03_gp     ff00ff00
             152   N   0000a198   0000830e   0000a19a   ---        --------
             153   N   0000a19a   00000205   0000a19c   x06_t1     ff00ff00
             154   N   0000a19c   00004289   0000a19e   x04_tp     00000001
             155   N   0000a19e   fe5214e3   0000a1a0   x05_t0     00000002
             156   N   0000a1a0   ff010eb7   0000a188   ---        --------
             159   N   0000a188   000010c1   0000a18c   x01_ra     0ff01000
             160   N   0000a18c   f0f0f137   0000a18e   x01_ra     0ff00ff0
             161   N   0000a18e   0000616d   0000a192   x02_sp     f0f0f000
             162   N   0000a192   0020c1b3   0000a194   x02_sp     f0f0f0f0
             163   N   0000a194   00000001   0000a198   x03_gp     ff00ff00
             164   N   0000a198   0000830e   0000a19a   ---        --------
             165   N   0000a19a   00000205   0000a19c   x06_t1     ff00ff00
             166   N   0000a19c   00004289   0000a19e   x04_tp     00000002
             167   N   0000a19e   fe5214e3   0000a1a0   x05_t0     00000002
             168   N   0000a1a0   ff010eb7   0000a1a4   ---        --------
             169   N   0000a1a4   f00e8e93   0000a1a8   x29_t4     ff010000
             170   N   0000a1a8   00004e29   0000a1ac   x29_t4     ff00ff00
             171   N   0000a1ac   2bd31263   0000a1ae   x28_t3     0000000a
             172   N   0000a1ae   00004201   0000a1b2   ---        --------
             173   N   0000a1b2   00ff00b7   0000a1b4   x04_tp     00000000
             174   N   0000a1b4   0ff08093   0000a1b8   x01_ra     00ff0000
             175   N   0000a1b8   0f0f1137   0000a1bc   x01_ra     00ff00ff
             176   N   0000a1bc   f0f10113   0000a1c0   x02_sp     0f0f1000
             177   N   0000a1c0   0020c1b3   0000a1c4   x02_sp     0f0f0f0f
             178   N   0000a1c4   00000001   0000a1c8   x03_gp     0ff00ff0
             179   N   0000a1c8   00000001   0000a1ca   ---        --------
             180   N   0000a1ca   0000830e   0000a1cc   ---        --------
             181   N   0000a1cc   00000205   0000a1ce   x06_t1     0ff00ff0
             182   N   0000a1ce   00004289   0000a1d0   x04_tp     00000001
             183   N   0000a1d0   fe5211e3   0000a1d2   x05_t0     00000002
             184   N   0000a1d2   42891eb7   0000a1b4   ---        --------
             187   N   0000a1b4   0ff08093   0000a1b8   x01_ra     00ff0000
             188   N   0000a1b8   0f0f1137   0000a1bc   x01_ra     00ff00ff
             189   N   0000a1bc   f0f10113   0000a1c0   x02_sp     0f0f1000
             190   N   0000a1c0   0020c1b3   0000a1c4   x02_sp     0f0f0f0f
             191   N   0000a1c4   00000001   0000a1c8   x03_gp     0ff00ff0
             192   N   0000a1c8   00000001   0000a1ca   ---        --------
             193   N   0000a1ca   0000830e   0000a1cc   ---        --------
             194   N   0000a1cc   00000205   0000a1ce   x06_t1     0ff00ff0
             195   N   0000a1ce   00004289   0000a1d0   x04_tp     00000002
             196   N   0000a1d0   fe5211e3   0000a1d2   x05_t0     00000002
             197   N   0000a1d2   42891eb7   0000a1d6   ---        --------
             199   N   0000a1d6   00001ec1   0000a1da   x29_t4     0ff01000
             200   N   0000a1da   00004e2d   0000a1dc   x29_t4     0ff00ff0
             201   N   0000a1dc   27d31a63   0000a1de   x28_t3     0000000b
             202   N   0000a1de   00004201   0000a1e2   ---        --------
             203   N   0000a1e2   ff0100b7   0000a1e4   x04_tp     00000000
             204   N   0000a1e4   f0008093   0000a1e8   x01_ra     ff010000
             205   N   0000a1e8   0f0f1137   0000a1ec   x01_ra     ff00ff00
             206   N   0000a1ec   f0f10113   0000a1f0   x02_sp     0f0f1000
             207   N   0000a1f0   0020c1b3   0000a1f4   x02_sp     0f0f0f0f
             208   N   0000a1f4   00000205   0000a1f8   x03_gp     f00ff00f
             209   N   0000a1f8   00004289   0000a1fa   x04_tp     00000001
             210   N   0000a1fa   fe5214e3   0000a1fc   x05_t0     00000002
             211   N   0000a1fc   f00ffeb7   0000a1e4   ---        --------
             214   N   0000a1e4   f0008093   0000a1e8   x01_ra     ff010000
             215   N   0000a1e8   0f0f1137   0000a1ec   x01_ra     ff00ff00
             216   N   0000a1ec   f0f10113   0000a1f0   x02_sp     0f0f1000
             217   N   0000a1f0   0020c1b3   0000a1f4   x02_sp     0f0f0f0f
             218   N   0000a1f4   00000205   0000a1f8   x03_gp     f00ff00f
             219   N   0000a1f8   00004289   0000a1fa   x04_tp     00000002
             220   N   0000a1fa   fe5214e3   0000a1fc   x05_t0     00000002
             221   N   0000a1fc   f00ffeb7   0000a200   ---        --------
             222   N   0000a200   00000ebd   0000a204   x29_t4     f00ff000
             223   N   0000a204   00004e31   0000a206   x29_t4     f00ff00f
             224   N   0000a206   25d19563   0000a208   x28_t3     0000000c
             225   N   0000a208   00004201   0000a20c   ---        --------
             226   N   0000a20c   0ff010b7   0000a20e   x04_tp     00000000
             227   N   0000a20e   000010c1   0000a212   x01_ra     0ff01000
             228   N   0000a212   f0f0f137   0000a214   x01_ra     0ff00ff0
             229   N   0000a214   0000616d   0000a218   x02_sp     f0f0f000
             230   N   0000a218   00000001   0000a21a   x02_sp     f0f0f0f0
             231   N   0000a21a   0020c1b3   0000a21c   ---        --------
             232   N   0000a21c   00000205   0000a220   x03_gp     ff00ff00
             233   N   0000a220   00004289   0000a222   x04_tp     00000001
             234   N   0000a222   fe5215e3   0000a224   x05_t0     00000002
             235   N   0000a224   ff010eb7   0000a20e   ---        --------
             239   N   0000a20e   000010c1   0000a212   x01_ra     0ff01000
             240   N   0000a212   f0f0f137   0000a214   x01_ra     0ff00ff0
             241   N   0000a214   0000616d   0000a218   x02_sp     f0f0f000
             242   N   0000a218   00000001   0000a21a   x02_sp     f0f0f0f0
             243   N   0000a21a   0020c1b3   0000a21c   ---        --------
             244   N   0000a21c   00000205   0000a220   x03_gp     ff00ff00
             245   N   0000a220   00004289   0000a222   x04_tp     00000002
             246   N   0000a222   fe5215e3   0000a224   x05_t0     00000002
             247   N   0000a224   ff010eb7   0000a228   ---        --------
             248   N   0000a228   f00e8e93   0000a22c   x29_t4     ff010000
             249   N   0000a22c   00004e35   0000a230   x29_t4     ff00ff00
             250   N   0000a230   23d19063   0000a232   x28_t3     0000000d
             251   N   0000a232   00004201   0000a236   ---        --------
             252   N   0000a236   00ff00b7   0000a238   x04_tp     00000000
             253   N   0000a238   0ff08093   0000a23c   x01_ra     00ff0000
             254   N   0000a23c   0f0f1137   0000a240   x01_ra     00ff00ff
             255   N   0000a240   f0f10113   0000a244   x02_sp     0f0f1000
             256   N   0000a244   00000001   0000a248   x02_sp     0f0f0f0f
             257   N   0000a248   00000001   0000a24a   ---        --------
