# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: xor.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             492   N   0000a3a0   0ff010b7   0000a3a2   ---        --------
             493   N   0000a3a2   000010c1   0000a3a6   x01_ra     0ff01000
             494   N   0000a3a6   00000001   0000a3a8   x01_ra     0ff00ff0
             495   N   0000a3a8   0020c1b3   0000a3aa   ---        --------
             496   N   0000a3aa   00000205   0000a3ae   x03_gp     ff00ff00
             497   N   0000a3ae   00004289   0000a3b0   x04_tp     00000002
             498   N   0000a3b0   fe5214e3   0000a3b2   x05_t0     00000002
             499   N   0000a3b2   42890eb7   0000a3b6   ---        --------
             501   N   0000a3b6   fe528e93   0000a3ba   x29_t4     ff010000
             503   N   0000a3ba   00004e59   0000a3be   x29_t4     ff00ff00
             504   N   0000a3be   09d19963   0000a3c0   x28_t3     00000016
             505   N   0000a3c0   00004201   0000a3c4   ---        --------
             506   N   0000a3c4   0f0f1137   0000a3c6   x04_tp     00000000
             507   N   0000a3c6   42010113   0000a3ca   x02_sp     0f0f1000
             509   N   0000a3ca   00000001   0000a3ce   x02_sp     0f0f0f0f
             510   N   0000a3ce   00000001   0000a3d0   ---        --------
             511   N   0000a3d0   00ff00b7   0000a3d2   ---        --------
             512   N   0000a3d2   00018093   0000a3d6   x01_ra     00ff0000
             514   N   0000a3d6   00ffc1b3   0000a3da   x01_ra     00ff00ff
             516   N   0000a3da   00000205   0000a3de   x03_gp     0ff00ff0
             517   N   0000a3de   00004289   0000a3e0   x04_tp     00000001
             518   N   0000a3e0   fe5212e3   0000a3e2   x05_t0     00000002
             519   N   0000a3e2   42891eb7   0000a3c6   ---        --------
             523   N   0000a3c6   42890113   0000a3ca   x02_sp     0f0f1000
             525   N   0000a3ca   00000001   0000a3ce   x02_sp     0f0f0f0f
             526   N   0000a3ce   00000001   0000a3d0   ---        --------
             527   N   0000a3d0   00ff00b7   0000a3d2   ---        --------
             528   N   0000a3d2   00018093   0000a3d6   x01_ra     00ff0000
             530   N   0000a3d6   00ffc1b3   0000a3da   x01_ra     00ff00ff
             532   N   0000a3da   00000205   0000a3de   x03_gp     0ff00ff0
             533   N   0000a3de   00004289   0000a3e0   x04_tp     00000002
             534   N   0000a3e0   fe5212e3   0000a3e2   x05_t0     00000002
             535   N   0000a3e2   42891eb7   0000a3e6   ---        --------
             537   N   0000a3e6   00001ec1   0000a3ea   x29_t4     0ff01000
             538   N   0000a3ea   00004e5d   0000a3ec   x29_t4     0ff00ff0
             539   N   0000a3ec   07d19263   0000a3ee   x28_t3     00000017
             540   N   0000a3ee   4e5d00b7   0000a3f2   ---        --------
             542   N   0000a3f2   07d18093   0000a3f6   x01_ra     ff010000
             544   N   0000a3f6   ff014133   0000a3fa   x01_ra     ff00ff00
             546   N   0000a3fa   f0000eb7   0000a3fe   x02_sp     ff00ff00
             548   N   0000a3fe   00108e93   0000a402   x29_t4     ff010000
             550   N   0000a402   00004e61   0000a406   x29_t4     ff00ff00
             551   N   0000a406   05d11563   0000a408   x28_t3     00000018
             552   N   0000a408   00ff00b7   0000a40c   ---        --------
             553   N   0000a40c   0ff08093   0000a410   x01_ra     00ff0000
             554   N   0000a410   0000c133   0000a414   x01_ra     00ff00ff
             555   N   0000a414   00ff0eb7   0000a418   x02_sp     00ff00ff
             556   N   0000a418   0ffe8e93   0000a41c   x29_t4     00ff0000
             557   N   0000a41c   00004e65   0000a420   x29_t4     00ff00ff
             558   N   0000a420   03d11863   0000a422   x28_t3     00000019
             559   N   0000a422   4e6540b3   0000a426   ---        --------
             561   N   0000a426   00004e81   0000a42a   x01_ra     00000000
             562   N   0000a42a   00004e69   0000a42c   x29_t4     00000000
             563   N   0000a42c   03d09263   0000a42e   x28_t3     0000001a
             564   N   0000a42e   4e6910b7   0000a432   ---        --------
             566   N   0000a432   03d08093   0000a436   x01_ra     11111000
             568   N   0000a436   11112137   0000a43a   x01_ra     11111111
             570   N   0000a43a   11100113   0000a43e   x02_sp     22222000
             572   N   0000a43e   2222c033   0000a442   x02_sp     22222222
             574   N   0000a442   00004e81   0000a446   ---        --------
             575   N   0000a446   00004e6d   0000a448   x29_t4     00000000
             576   N   0000a448   01d01463   0000a44a   x28_t3     0000001b
             577   N   0000a44a   4e6d1863   0000a44e   ---        --------
             579   N   0000a44e   01d0000f   0000a45e   ---        --------
             583   N   0000a45e   000085f2   0000a462   ---        --------
             584   N   0000a462   00004501   0000a464   x11_a1     0000001b
             585   N   0000a464   00000073   0000a466   x10_a0     00000000
             586   E   0000a466   45010073   000008c0   mstatus    00001800
             586   E   0000a466   45010073   000008c0   mepc       0000a466
             586   E   0000a466   45010073   000008c0   mcause     0000000b
             586   E   0000a466   45010073   000008c0   mtval      00000000
             589   N   000008c0   000047a1   000008c4   x14_a4     0000000b
             590   N   000008c4   04f70063   000008c6   x15_a5     00000008
             591   N   000008c6   000047a5   000008ca   ---        --------
             592   N   000008ca   02f70d63   000008cc   x15_a5     00000009
             593   N   000008cc   000047ad   000008d0   ---        --------
             594   N   000008d0   02f70a63   000008d2   x15_a5     0000000b
             595   N   000008d2   47ad0837   00000906   ---        --------
             599   N   00000906   08370013   0000a480   ---        --------
             602   N   0000a480   c7428293   0000a484   x05_t0     00000480
             603   N   0000a484   00008282   0000a488   x05_t0     000000f4
             604   N   0000a488   00000013   000000f4   ---        --------
             607   N   000000f4   0000006f   000000f8   ---        --------
             608   N   000000f8   ffffffff   000000f8   ---        --------
